#{"t_start": 1773857191.5022678, "env_id": "None"}
r,l,t
197.25,296,950.429818
99.08,103,950.572241
394.09,632,954.115523
297.07,324,954.610236
375.01,538,955.438993
266.71,357,955.997746
118.03,210,956.316284
414.75,568,960.21088
137.95,220,960.561256
293.66,665,961.599531
384.87,553,962.42837
336.66,369,962.987019
187.47,273,965.993515
385.03,537,966.790531
365.21,517,967.565494
335.8,455,968.227246
295.69,462,971.522904
365.61,477,972.27591
285.02,528,973.08871
276.33,396,973.695105
383.82,658,977.734734
9.95,7,977.74522
375.35,504,978.514293
286.37,393,979.152648
286.72,358,979.696291
217.75,248,980.063245
305.73,459,983.718191
374.83,556,984.580695
374.03,636,985.617078
187.95,225,985.954328
117.84,229,986.318634
256.57,370,989.684851
375.15,524,990.514345
364.71,567,991.394457
275.92,437,992.048656
374.68,571,995.505821
335.48,487,996.28761
415.04,539,997.118294
374.97,542,997.948457
385.16,524,1001.509214
394.52,589,1002.388353
404.85,557,1003.217732
118.85,128,1003.40967
256.23,404,1004.000104
335.39,496,1007.475565
394.15,626,1008.481379
365.63,475,1009.231754
405.45,497,1010.047407
404.55,587,1013.745973
335.52,483,1014.544027
286.15,415,1015.199417
355.44,493,1016.044834
